Year,Generation,FuelType
2002,3650.5,Renewables
2003,3783.7,Renewables
2004,4339.3,Renewables
2005,4910.1,Renewables
2006,4742.9,Renewables
2007,5413.7,Renewables
2008,5540.2,Renewables
2009,5114.7,Renewables
2010,5157.4,Renewables
2011,6426.9,Renewables
2012,7048.3,Renewables
2013,7385.3,Renewables
2014,7397.6,Renewables
2015,7709.2,Renewables
2016,8381.8,Renewables
2017,8406.6,Renewables
2018,8166.6,Renewables
1985,0.4,Other
1986,0.5,Other
1987,0.4,Other
1988,0.4,Other
1989,0.6,Other
1990,0.6,Other
1991,0.5,Other
1992,0.4,Other
1993,0.5,Other
1994,1.5,Other
1995,1.3,Other
1996,0.4,Other
1997,0.4,Other
1998,0.4,Other
1999,0.3,Other
2000,0.4,Other
2001,207,Other
2002,266.7,Other
2003,248.1,Other
2004,254.3,Other
2005,255.9,Other
2006,246.9,Other
2007,237.9,Other
2008,111.5,Other
2009,227,Other
2010,250.3,Other
2011,321.3,Other
2012,359.5,Other
2013,404.7,Other
2014,372.6,Other
2015,318.1,Other
2016,339.7,Other
2017,269.4,Other
2018,339.1,Other
